,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,Game ID,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Implied Points,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,FGM,FGA,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,XPM,XPA,Pnt,Yds,Y/P
28845,Aldrick Rosas,K,2019,1,NYG,DAL,9/8/2019,201909080dal,A,,17,35,7,44,18.5,18,retractable roof (closed),fieldturf,indoors,,,1,1,0,1,0,0,0,2,2,0,0,
28846,Matt Prater,K,2019,1,DET,ARI,9/8/2019,201909080crd,A,OT,27,27,-2.5,45.5,24,0,Cardinals,retractable roof (closed),indoors,,,2,2,0,0,1,0,1,3,3,0,0,
28847,Zane Gonzalez,K,2019,1,ARI,DET,9/8/2019,201909080crd,H,OT,27,27,2.5,45.5,21.5,0,Cardinals,retractable roof (closed),indoors,,,4,4,0,2,1,1,0,1,1,0,0,
28848,Stephen Gostkowski,K,2019,1,NWE,PIT,9/8/2019,201909080nwe,H,,33,3,-5.5,49,27.25,-30,outdoors,grass,"66 degrees, relative humidity 62%, wind 2 mph",66,2,4,4,0,1,2,1,0,3,3,0,0,
28849,Wil Lutz,K,2019,1,NOR,HOU,9/9/2019,201909090nor,H,,30,28,-6.5,52,29.25,-2,dome,astroturf,indoors,,,3,4,0,0,1,1,1,3,3,0,0,
28850,Brandon McManus,K,2019,1,DEN,OAK,9/9/2019,201909090rai,A,,16,24,-3,42.5,22.75,8,outdoors,grass,"68 degrees, relative humidity 66%, wind 15 mph",68,15,3,4,0,2,1,0,0,1,1,0,0,
28851,Daniel Carlson,K,2019,1,OAK,DEN,9/9/2019,201909090rai,H,,24,16,3,42.5,19.75,-8,outdoors,grass,"68 degrees, relative humidity 66%, wind 15 mph",68,15,1,1,0,1,0,0,0,3,3,0,0,
28852,Matt Gay,K,2019,2,TAM,CAR,9/12/2019,201909120car,A,,20,14,6.5,48,20.75,-6,outdoors,grass,"85 degrees, relative humidity 55%, wind 3 mph",85,3,2,3,0,0,1,1,0,2,2,0,0,
28853,Robbie Gould,K,2019,2,SFO,CIN,9/15/2019,201909150cin,A,,41,17,1,46,22.5,-24,outdoors,grass,"81 degrees, relative humidity 45%, wind 5 mph",81,5,2,3,0,0,2,0,0,5,5,0,0,
28854,Randy Bullock,K,2019,2,CIN,SFO,9/15/2019,201909150cin,H,,17,41,-1,46,23.5,24,outdoors,grass,"81 degrees, relative humidity 45%, wind 5 mph",81,5,1,2,0,0,1,0,0,2,2,0,0,
28855,Brett Maher,K,2019,2,DAL,WAS,9/15/2019,201909150was,A,,31,21,-6,46.5,26.25,-10,outdoors,grass,"80 degrees, relative humidity 46%, wind 7 mph",80,7,1,1,0,1,0,0,0,4,4,0,0,
28856,Justin Tucker,K,2019,2,BAL,ARI,9/15/2019,201909150rav,H,,23,17,-13,46,29.5,-6,outdoors,grass,"82 degrees, relative humidity 60%, wind 8 mph",82,8,3,3,0,1,1,0,1,2,2,0,0,
28857,Chris Boswell,K,2019,2,PIT,SEA,9/15/2019,201909150pit,H,,26,28,-4,47,25.5,2,outdoors,grass,"81 degrees, relative humidity 51%, wind 3 mph",81,3,2,2,0,0,1,1,0,2,2,0,0,
28858,Cairo Santos,K,2019,2,TEN,IND,9/15/2019,201909150oti,H,,17,19,-3,43.5,23.25,2,outdoors,grass,"93 degrees, relative humidity 45%, wind 1 mph",93,1,1,2,0,0,0,1,0,2,2,0,0,
28859,Stephen Gostkowski,K,2019,2,NWE,MIA,9/15/2019,201909150mia,A,,43,0,-18,48.5,33.25,-43,outdoors,grass,"87 degrees, relative humidity 67%, wind 4 mph",87,4,1,2,0,1,0,0,0,4,6,0,0,
28860,Ka'imi Fairbairn,K,2019,2,HOU,JAX,9/15/2019,201909150htx,H,,13,12,-7.5,43,25.25,-1,retractable roof (closed),grass,indoors,,,2,2,0,1,1,0,0,1,1,0,0,
28861,Dan Bailey,K,2019,2,MIN,GNB,9/15/2019,201909150gnb,A,,16,21,3,43,20,5,outdoors,grass,"72 degrees, relative humidity 75%, wind 5 mph",72,5,1,2,0,0,1,0,0,1,2,0,0,
28862,Daniel Carlson,K,2019,2,OAK,KAN,9/15/2019,201909150rai,H,,10,28,7,53.5,23.25,18,outdoors,grass,"70 degrees, relative humidity 61%, wind 13 mph",70,13,1,1,0,1,0,0,0,1,1,0,0,
28863,Greg Zuerlein,K,2019,2,LAR,NOR,9/15/2019,201909150ram,H,,27,9,-2,52.5,27.25,-18,outdoors,grass,"85 degrees, relative humidity 44%, wind 4 mph",85,4,2,2,0,2,0,0,0,3,3,0,0,
28864,Eddy Pineiro,K,2019,2,CHI,DEN,9/15/2019,201909150den,A,,16,14,-3,41,22,-2,outdoors,grass,"87 degrees, relative humidity 14%, wind 3 mph",87,3,3,3,0,0,0,1,2,1,1,0,0,
28865,Matt Bryant,K,2019,2,ATL,PHI,9/15/2019,201909150atl,H,,24,20,1,53,26,-4,dome,fieldturf,indoors,,,1,2,0,0,0,0,1,3,3,0,0,
28866,Austin Seibert,K,2019,2,CLE,NYJ,9/16/2019,201909160nyj,A,,23,3,-6.5,45.5,26,-20,outdoors,fieldturf ,"72 degrees, relative humidity 69%, wind 3 mph",72,3,3,3,0,1,0,2,0,2,2,0,0,
28867,Josh Lambo,K,2019,3,JAX,TEN,9/19/2019,201909190jax,H,,20,7,1.5,38,18.25,-13,outdoors,grass,"73 degrees, relative humidity 87%, wind 9 mph",73,9,2,2,0,0,0,2,0,2,2,0,0,
28868,Randy Bullock,K,2019,3,CIN,BUF,9/22/2019,201909220buf,A,,17,21,5.5,43.5,19,4,outdoors,astroturf,"83 degrees, relative humidity 53%, wind 13 mph",83,13,1,1,0,0,0,1,0,2,2,0,0,
28869,Stephen Hauschka,K,2019,3,BUF,CIN,9/22/2019,201909220buf,H,,21,17,-5.5,43.5,24.5,-4,outdoors,astroturf,"83 degrees, relative humidity 53%, wind 13 mph",83,13,2,3,0,0,1,1,0,1,1,0,0,
28870,Matt Prater,K,2019,3,DET,PHI,9/22/2019,201909220phi,A,,27,24,4,45,20.5,-3,outdoors,grass,"84 degrees, relative humidity 53%, wind 7 mph",84,7,2,3,0,1,1,0,0,3,3,0,0,
28871,Jake Elliott,K,2019,3,PHI,DET,9/22/2019,201909220phi,H,,24,27,-4,45,24.5,3,outdoors,grass,"84 degrees, relative humidity 53%, wind 7 mph",84,7,1,1,0,1,0,0,0,3,3,0,0,
28872,Stephen Gostkowski,K,2019,3,NWE,NYJ,9/22/2019,201909220nwe,H,,30,14,-20.5,43,31.75,-16,outdoors,grass,"81 degrees, relative humidity 49%, wind 10 mph",81,10,1,1,0,0,1,0,0,3,4,0,0,
28873,Dan Bailey,K,2019,3,MIN,OAK,9/22/2019,201909220min,H,,34,14,-8.5,43,25.75,-20,dome,sportturf,indoors,,,2,2,0,1,0,0,1,4,4,0,0,
28874,Justin Tucker,K,2019,3,BAL,KAN,9/22/2019,201909220kan,A,,28,33,4.5,52,23.75,5,outdoors,astroturf,"73,390",,,1,1,0,0,1,0,0,1,1,0,0,
28875,Harrison Butker,K,2019,3,KAN,BAL,9/22/2019,201909220kan,H,,33,28,-4.5,52,28.25,-5,outdoors,astroturf,"73,390",,,2,2,0,0,1,1,0,3,4,0,0,
28876,Brandon McManus,K,2019,3,DEN,GNB,9/22/2019,201909220gnb,A,,16,27,7,42,17.5,11,outdoors,grass,"69 degrees, relative humidity 93%, wind 7 mph",69,7,1,1,0,0,1,0,0,1,2,0,0,
28877,Mason Crosby,K,2019,3,GNB,DEN,9/22/2019,201909220gnb,H,,27,16,-7,42,24.5,-11,outdoors,grass,"69 degrees, relative humidity 93%, wind 7 mph",69,7,2,3,0,0,0,2,0,3,3,0,0,
28878,Brett Maher,K,2019,3,DAL,MIA,9/22/2019,201909220dal,H,,31,6,-22,46.5,34.25,-25,retractable roof (closed),fieldturf,indoors,,,1,2,0,1,0,0,0,4,4,0,0,
28879,Matt Bryant,K,2019,3,ATL,IND,9/22/2019,201909220clt,A,,24,27,1,48,23.5,3,retractable roof (closed),fieldturf,indoors,,,1,1,0,0,1,0,0,3,3,0,0,
28880,Adam Vinatieri,K,2019,3,IND,ATL,9/22/2019,201909220clt,H,,27,24,-1,48,24.5,-3,retractable roof (closed),fieldturf,indoors,,,2,2,0,1,0,1,0,3,3,0,0,
28881,Aldrick Rosas,K,2019,3,NYG,TAM,9/22/2019,201909220tam,A,,32,31,5,48,21.5,-1,outdoors,grass,"88 degrees, relative humidity 46%, wind 11 mph",88,11,1,1,0,0,1,0,0,3,3,0,0,
28882,Matt Gay,K,2019,3,TAM,NYG,9/22/2019,201909220tam,H,,31,32,-5,48,26.5,1,outdoors,grass,"88 degrees, relative humidity 46%, wind 11 mph",88,11,4,5,0,2,0,1,1,1,3,0,0,
28883,Joey Slye,K,2019,3,CAR,ARI,9/22/2019,201909220crd,A,,38,20,2.5,46,21.75,-18,retractable roof (closed),grass,indoors,,,1,1,0,0,1,0,0,5,5,0,0,
28884,Zane Gonzalez,K,2019,3,ARI,CAR,9/22/2019,201909220crd,H,,20,38,-2.5,46,24.25,18,retractable roof (closed),grass,indoors,,,2,2,0,0,1,1,0,2,2,2,84,42
28885,Chris Boswell,K,2019,3,PIT,SFO,9/22/2019,201909220sfo,A,,20,24,49,44.5,-2.25,4,outdoors,grass,"79 degrees, relative humidity 36%, wind 3 mph",79,3,2,2,0,1,0,1,0,2,2,0,0,
28886,Robbie Gould,K,2019,3,SFO,PIT,9/22/2019,201909220sfo,H,,24,20,-49,44.5,46.75,-4,outdoors,grass,"79 degrees, relative humidity 36%, wind 3 mph",79,3,1,1,0,1,0,0,0,3,3,0,0,
28887,Greg Zuerlein,K,2019,3,LAR,CLE,9/22/2019,201909220cle,A,,20,13,-4,48,26,-7,outdoors,grass,"83 degrees, relative humidity 33%, wind 12 mph",83,12,2,3,0,0,1,0,1,2,2,0,0,
28888,Austin Seibert,K,2019,3,CLE,LAR,9/22/2019,201909220cle,H,,13,20,4,48,22,7,outdoors,grass,"83 degrees, relative humidity 33%, wind 12 mph",83,12,2,2,0,1,1,0,0,1,1,0,0,
28889,Eddy Pineiro,K,2019,3,CHI,WAS,9/23/2019,201909230was,A,,31,15,-5,41,23,-16,outdoors,grass,"87 degrees, relative humidity 39%, wind 5 mph",87,5,1,2,0,0,1,0,0,4,4,0,0,
28890,Mason Crosby,K,2019,4,GNB,PHI,9/26/2019,201909260gnb,H,,27,34,-3.5,46,24.75,7,outdoors,grass,"60 degrees, relative humidity 62%, wind 3 mph",60,3,2,2,0,0,2,0,0,3,3,0,0,
28891,Stephen Gostkowski,K,2019,4,NWE,BUF,9/29/2019,201909290buf,A,,16,10,-7,41.5,24.25,-6,outdoors,astroturf,"58 degrees, relative humidity 71%, wind 10 mph",58,10,1,1,0,1,0,0,0,1,2,0,0,
28892,Stephen Hauschka,K,2019,4,BUF,NWE,9/29/2019,201909290buf,H,,10,16,7,41.5,17.25,6,outdoors,astroturf,"58 degrees, relative humidity 71%, wind 10 mph",58,10,1,2,0,0,0,1,0,1,1,0,0,
28893,Cairo Santos,K,2019,4,TEN,ATL,9/29/2019,201909290atl,A,,24,10,3.5,46,21.25,-14,dome,fieldturf,indoors,,,1,1,0,0,0,1,0,3,3,0,0,
28894,Matt Bryant,K,2019,4,ATL,TEN,9/29/2019,201909290atl,H,,10,24,-3.5,46,24.75,14,dome,fieldturf,indoors,,,1,2,0,0,0,1,0,1,1,0,0,
28895,Austin Seibert,K,2019,4,CLE,BAL,9/29/2019,201909290rav,A,,40,25,7.5,47,19.75,-15,outdoors,grass,"83 degrees, relative humidity 57%, wind 8 mph",83,8,2,2,0,1,0,1,0,4,4,0,0,
28896,Justin Tucker,K,2019,4,BAL,CLE,9/29/2019,201909290rav,H,,25,40,-7.5,47,27.25,15,outdoors,grass,"83 degrees, relative humidity 57%, wind 8 mph",83,8,1,1,0,0,0,1,0,2,2,0,0,
28897,Aldrick Rosas,K,2019,4,NYG,WAS,9/29/2019,201909290nyg,H,,24,3,-3,48,25.5,-21,outdoors,fieldturf ,"77 degrees, relative humidity 42%, wind 11 mph",77,11,1,1,0,0,1,0,0,3,3,0,0,
28898,Jason Sanders,K,2019,4,MIA,LAC,9/29/2019,201909290mia,H,,10,30,15,43.5,14.25,20,outdoors,grass,"88 degrees, relative humidity 53%, wind 15 mph",88,15,1,3,0,0,1,0,0,1,1,0,0,
28899,Joey Slye,K,2019,4,CAR,HOU,9/29/2019,201909290htx,A,,16,10,5.5,47.5,21,-6,retractable roof (closed),grass,indoors,,,3,3,0,1,0,1,1,1,1,0,0,
28900,Ka'imi Fairbairn,K,2019,4,HOU,CAR,9/29/2019,201909290htx,H,,10,16,-5.5,47.5,26.5,6,retractable roof (closed),grass,indoors,,,1,2,0,0,1,0,0,1,1,0,0,
28901,Harrison Butker,K,2019,4,KAN,DET,9/29/2019,201909290det,A,,34,30,-7.5,54.5,31,-4,dome,fieldturf,indoors,,,2,3,0,1,0,1,0,4,4,0,0,
28902,Matt Prater,K,2019,4,DET,KAN,9/29/2019,201909290det,H,,30,34,7.5,54.5,23.5,4,dome,fieldturf,indoors,,,3,3,0,1,0,1,1,3,3,0,0,
28903,Daniel Carlson,K,2019,4,OAK,IND,9/29/2019,201909290clt,A,,31,24,5.5,46,20.25,-7,retractable roof (closed),fieldturf,indoors,,,1,1,0,1,0,0,0,4,4,0,0,
28904,Adam Vinatieri,K,2019,4,IND,OAK,9/29/2019,201909290clt,H,,24,31,-5.5,46,25.75,7,retractable roof (closed),fieldturf,indoors,,,1,2,0,1,0,0,0,3,3,0,0,
28905,Matt Gay,K,2019,4,TAM,LAR,9/29/2019,201909290ram,A,,55,40,9,48.5,19.75,-15,outdoors,grass,"74 degrees, relative humidity 41%, wind 2 mph",74,2,2,2,0,1,0,0,1,7,7,0,0,
28906,Greg Zuerlein,K,2019,4,LAR,TAM,9/29/2019,201909290ram,H,,40,55,-9,48.5,28.75,15,outdoors,grass,"74 degrees, relative humidity 41%, wind 2 mph",74,2,2,2,0,0,0,1,1,4,4,0,0,
28907,Jason Myers,K,2019,4,SEA,ARI,9/29/2019,201909290crd,A,,27,10,-5.5,49,27.25,-17,retractable roof (closed),grass,indoors,,,2,2,0,1,1,0,0,3,3,0,0,
28908,Zane Gonzalez,K,2019,4,ARI,SEA,9/29/2019,201909290crd,H,,10,27,5.5,49,21.75,17,retractable roof (closed),grass,indoors,,,1,3,0,0,1,0,0,1,1,0,0,
28909,Josh Lambo,K,2019,4,JAX,DEN,9/29/2019,201909290den,A,,26,24,2.5,37,17.25,-2,outdoors,grass,"87 degrees, relative humidity 11%, wind 14 mph",87,14,4,4,0,1,2,1,0,2,2,0,0,
28910,Brandon McManus,K,2019,4,DEN,JAX,9/29/2019,201909290den,H,,24,26,-2.5,37,19.75,2,outdoors,grass,"87 degrees, relative humidity 11%, wind 14 mph",87,14,1,1,0,0,1,0,0,3,3,0,0,
28911,Eddy Pineiro,K,2019,4,CHI,MIN,9/29/2019,201909290chi,H,,16,6,1,38,18.5,-10,outdoors,grass,"67 degrees, relative humidity 89%, wind 8 mph",67,8,3,3,0,1,2,0,0,1,1,0,0,
28912,Brett Maher,K,2019,4,DAL,NOR,9/29/2019,201909290nor,A,,10,12,-2.5,47,24.75,2,dome,astroturf,indoors,,,1,1,0,1,0,0,0,1,1,0,0,
28913,Chris Boswell,K,2019,4,PIT,CIN,9/30/2019,201909300pit,H,,27,3,-3.5,45.5,24.5,-24,outdoors,grass,"76 degrees, relative humidity 72%, wind 1 mph",76,1,2,2,0,1,0,1,0,3,3,0,0,
28914,Greg Zuerlein,K,2019,5,LAR,SEA,10/3/2019,201910030sea,A,,29,30,1.5,49,23.75,1,outdoors,fieldturf,"57 degrees, relative humidity 56%, wind 7 mph",57,7,3,4,0,0,2,1,0,2,2,0,0,
28915,Jason Myers,K,2019,5,SEA,LAR,10/3/2019,201910030sea,H,,30,29,-1.5,49,25.25,-1,outdoors,fieldturf,"57 degrees, relative humidity 56%, wind 7 mph",57,7,1,2,0,0,0,1,0,3,3,0,0,
28916,Zane Gonzalez,K,2019,5,ARI,CIN,10/6/2019,201910060cin,A,,26,23,3,45,21,-3,outdoors,grass,"76 degrees, relative humidity 68%, wind 6 mph",76,6,4,5,0,3,1,0,0,2,2,0,0,
28917,Randy Bullock,K,2019,5,CIN,ARI,10/6/2019,201910060cin,H,,23,26,-3,45,24,3,outdoors,grass,"76 degrees, relative humidity 68%, wind 6 mph",76,6,3,3,0,2,0,1,0,2,2,0,0,
28918,Josh Lambo,K,2019,5,JAX,CAR,10/6/2019,201910060car,A,,27,34,3,41,19,7,outdoors,grass,"72 degrees, relative humidity 59%, wind 4 mph",72,4,2,2,0,0,2,0,0,3,3,0,0,
28919,Mike Nugent,K,2019,5,NWE,WAS,10/6/2019,201910060was,A,,33,7,-15.5,42,28.75,-26,outdoors,grass,"70 degrees, relative humidity 66%, wind 8 mph",70,8,2,2,0,1,1,0,0,3,4,0,0,
28920,Daniel Carlson,K,2019,5,OAK,CHI,10/6/2019,201910060rai,H,,24,21,6.5,39.5,16.5,-3,outdoors,grass,"59 degrees, relative humidity 60%, wind 15 mph",59,15,1,1,0,0,0,1,0,3,3,0,0,
28921,Justin Tucker,K,2019,5,BAL,PIT,10/6/2019,201910060pit,A,OT,26,23,-3.5,44,23.75,-3,outdoors,grass,"70 degrees, relative humidity 74%, wind 7 mph",70,7,4,4,0,2,0,2,0,2,2,0,0,
28922,Chris Boswell,K,2019,5,PIT,BAL,10/6/2019,201910060pit,H,OT,23,26,3.5,44,20.25,3,outdoors,grass,"70 degrees, relative humidity 74%, wind 7 mph",70,7,3,3,0,1,1,1,0,2,2,0,0,
28923,Jake Elliott,K,2019,5,PHI,NYJ,10/6/2019,201910060phi,H,,31,6,-14,43,28.5,-25,outdoors,grass,"68 degrees, relative humidity 68%, wind 10 mph",68,10,1,1,0,1,0,0,0,4,4,0,0,
28924,Dan Bailey,K,2019,5,MIN,NYG,10/6/2019,201910060nyg,A,,28,10,-5.5,44,24.75,-18,outdoors,fieldturf ,"66 degrees, relative humidity 73%, wind 10 mph",66,10,4,4,0,0,2,2,0,2,2,0,0,
28925,Aldrick Rosas,K,2019,5,NYG,MIN,10/6/2019,201910060nyg,H,,10,28,5.5,44,19.25,18,outdoors,fieldturf ,"66 degrees, relative humidity 73%, wind 10 mph",66,10,1,1,0,0,1,0,0,1,1,0,0,
28926,Matt Gay,K,2019,5,TAM,NOR,10/6/2019,201910060nor,A,,24,31,3,46,21.5,7,dome,astroturf,indoors,,,1,1,0,0,0,1,0,3,3,0,0,
28927,Wil Lutz,K,2019,5,NOR,TAM,10/6/2019,201910060nor,H,,31,24,-3,46,24.5,-7,dome,astroturf,indoors,,,1,1,0,1,0,0,0,4,4,0,0,
28928,Matt Bryant,K,2019,5,ATL,HOU,10/6/2019,201910060htx,A,,32,53,4,49,22.5,21,retractable roof (closed),grass,indoors,,,1,1,0,0,1,0,0,3,3,0,0,
28929,Ka'imi Fairbairn,K,2019,5,HOU,ATL,10/6/2019,201910060htx,H,,53,32,-4,49,26.5,-21,retractable roof (closed),grass,indoors,,,2,2,0,1,0,0,1,5,7,0,0,
28930,Brandon McManus,K,2019,5,DEN,LAC,10/6/2019,201910060sdg,A,,20,13,4,46,21,-7,outdoors,grass,"85 degrees, relative humidity 35%, wind 12 mph",85,12,2,3,0,0,0,2,0,2,2,0,0,
28931,Chase McLaughlin,K,2019,5,LAC,DEN,10/6/2019,201910060sdg,H,,13,20,-4,46,25,7,outdoors,grass,"85 degrees, relative humidity 35%, wind 12 mph",85,12,2,3,0,0,1,1,0,1,1,0,0,
28932,Mason Crosby,K,2019,5,GNB,DAL,10/6/2019,201910060dal,A,,34,24,3.5,46.5,21.5,-10,retractable roof (closed),fieldturf,indoors,,,2,2,0,1,1,0,0,4,4,0,0,
28933,Brett Maher,K,2019,5,DAL,GNB,10/6/2019,201910060dal,H,,24,34,-3.5,46.5,25,10,retractable roof (closed),fieldturf,indoors,,,1,3,0,0,1,0,0,3,3,0,0,
28934,Adam Vinatieri,K,2019,5,IND,KAN,10/6/2019,201910060kan,A,,19,13,10.5,55.5,22.5,-6,outdoors,astroturf,"59 degrees, relative humidity 75%, wind 3 mph",59,3,4,4,0,1,3,0,0,1,1,0,0,
28935,Harrison Butker,K,2019,5,KAN,IND,10/6/2019,201910060kan,H,,13,19,-10.5,55.5,33,6,outdoors,astroturf,"59 degrees, relative humidity 75%, wind 3 mph",59,3,2,2,0,1,1,0,0,1,1,0,0,
28936,Robbie Gould,K,2019,5,SFO,CLE,10/7/2019,201910070sfo,H,,31,3,-49,47.5,48.25,-28,outdoors,grass,"87 degrees, relative humidity 36%, wind 8 mph",87,8,1,4,0,0,0,1,0,4,4,0,0,
28937,Joey Slye,K,2019,6,CAR,TAM,10/13/2019,201910130tam,A,,37,26,-2,48.5,25.25,-11,outdoors,grass,"61 degrees, relative humidity 86%, wind 14 mph",61,14,3,5,0,1,0,2,0,4,4,0,0,
28938,Matt Gay,K,2019,6,TAM,CAR,10/13/2019,201910130tam,H,,26,37,2,48.5,23.25,11,outdoors,grass,"61 degrees, relative humidity 86%, wind 14 mph",61,14,1,1,0,0,0,0,1,1,1,0,0,
28939,Jason Myers,K,2019,6,SEA,CLE,10/13/2019,201910130cle,A,,32,28,1,45.5,22.25,-4,outdoors,grass,"58 degrees, relative humidity 38%, wind 20 mph",58,20,2,2,0,1,1,0,0,2,3,0,0,
28940,Randy Bullock,K,2019,6,CIN,BAL,10/13/2019,201910130rav,A,,17,23,10.5,47,18.25,6,outdoors,grass,"64 degrees, relative humidity 43%, wind 7 mph",64,7,1,1,0,1,0,0,0,2,2,0,0,
